Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: Runge-Kutter
0 0 1
0.68 0.333488 0.941944 0.499237
0.69 0.338198 0.940253 0.499227
0.7 0.342899 0.938539 0.499218
0.71 0.347592 0.936801 0.499208
0.72 0.352276 0.935039 0.499198
0.73 0.356951 0.933255 0.499189
0.74 0.361617 0.931446 0.49918
0.75 0.366274 0.929615 0.49917
0.76 0.370922 0.92776 0.499161
0.77 0.375561 0.925883 0.499152
0.78 0.38019 0.923982 0.499143
0.79 0.38481 0.922057 0.499134
0.8 0.38942 0.92011 0.499125
0.81 0.39402 0.91814 0.499117
0.82 0.398611 0.916147 0.499108
0.83 0.403192 0.914131 0.4991
0.84 0.407762 0.912092 0.499091
0.85 0.412322 0.910031 0.499083
0.86 0.416873 0.907946 0.499074
0.87 0.421412 0.905839 0.499066
0.88 0.425941 0.903709 0.499058
0.89 0.43046 0.901557 0.49905
0.9 0.434967 0.899382 0.499042
0.91 0.439464 0.897185 0.499034
0.92 0.44395 0.894965 0.499027
0.93 0.448425 0.892723 0.499019
0.94 0.452888 0.890458 0.499012
0.95 0.45734 0.888171 0.499004
0.96 0.461781 0.885862 0.498997
0.97 0.46621 0.883531 0.49899
0.98 0.470628 0.881178 0.498983
0.99 0.475034 0.878803 0.498976
1 0.479427 0.876406 0.498969
1.01 0.483809 0.873987 0.498962
1.02 0.488179 0.871546 0.498955
1.03 0.492537 0.869083 0.498949
1.04 0.496882 0.866598 0.498942
1.05 0.501215 0.864092 0.498936
1.06 0.505535 0.861565 0.49893
1.07 0.509843 0.859015 0.498924
1.08 0.514138 0.856445 0.498918
1.09 0.51842 0.853852 0.498912
1.1 0.522689 0.851239 0.498906
1.11 0.526945 0.848604 0.4989
1.12 0.531188 0.845948 0.498895
1.13 0.535418 0.843271 0.498889
1.14 0.539634 0.840573 0.498884
1.15 0.543837 0.837853 0.498878
1.16 0.548026 0.835113 0.498873
1.17 0.552202 0.832352 0.498868
1.18 0.556363 0.82957 0.498863
1.19 0.560511 0.826768 0.498859
1.2 0.564645 0.823944 0.498854
1.21 0.568764 0.8211 0.498849
1.22 0.57287 0.818236 0.498845
1.23 0.576961 0.815351 0.498841
1.24 0.581038 0.812446 0.498836
1.25 0.5851 0.80952 0.498832
1.26 0.589147 0.806574 0.498828
1.27 0.59318 0.803609 0.498825
1.28 0.597198 0.800622 0.498821
1.29 0.601201 0.797616 0.498817
1.3 0.605189 0.79459 0.498814
1.31 0.609162 0.791544 0.49881
1.32 0.613119 0.788479 0.498807
1.33 0.617062 0.785393 0.498804
1.34 0.620988 0.782288 0.498801
1.35 0.6249 0.779164 0.498798
1.36 0.628796 0.77602 0.498795
1.37 0.632676 0.772856 0.498793
1.38 0.63654 0.769674 0.49879
1.39 0.640388 0.766472 0.498788
1.4 0.64422 0.76325 0.498785
1.41 0.648036 0.76001 0.498783
1.42 0.651836 0.756751 0.498781
1.43 0.65562 0.753473 0.498779
1.44 0.659387 0.750176 0.498778
1.45 0.663138 0.74686 0.498776
1.46 0.666872 0.743525 0.498774
1.47 0.67059 0.740172 0.498773
1.48 0.674291 0.736801 0.498772
1.49 0.677974 0.733411 0.49877
1.5 0.681641 0.730003 0.498769
1.51 0.685291 0.726576 0.498769
1.52 0.688924 0.723131 0.498768
1.53 0.69254 0.719669 0.498767
1.54 0.696138 0.716188 0.498767
1.55 0.699719 0.712689 0.498766
1.56 0.703282 0.709173 0.498766
1.57 0.706828 0.705638 0.498766
1.58 0.710356 0.702086 0.498766
1.59 0.713866 0.698517 0.498766
1.6 0.717359 0.69493 0.498766
1.61 0.720833 0.691326 0.498766
1.62 0.72429 0.687704 0.498767
1.63 0.727728 0.684066 0.498767
1.64 0.731149 0.68041 0.498768
1.65 0.734551 0.676737 0.498769
1.66 0.737934 0.673047 0.49877
1.67 0.741299 0.669341 0.498771
1.68 0.744646 0.665617 0.498772
1.69 0.747974 0.661877 0.498773
1.7 0.751283 0.658121 0.498775
1.71 0.754574 0.654348 0.498776
1.72 0.757846 0.650559 0.498778
1.73 0.761098 0.646753 0.49878
1.74 0.764332 0.642931 0.498782
1.75 0.767546 0.639093 0.498784
1.76 0.770742 0.63524 0.498786
1.77 0.773918 0.63137 0.498788
1.78 0.777075 0.627484 0.498791
1.79 0.780212 0.623583 0.498793
1.8 0.78333 0.619666 0.498796
1.81 0.786428 0.615734 0.498799
1.82 0.789507 0.611787 0.498802
1.83 0.792566 0.607824 0.498805
1.84 0.795605 0.603846 0.498808
1.85 0.798624 0.599852 0.498811
1.86 0.801623 0.595844 0.498815
1.87 0.804602 0.591821 0.498818
1.88 0.807561 0.587783 0.498822
1.89 0.8105 0.583731 0.498826
1.9 0.813419 0.579663 0.49883
1.91 0.816317 0.575582 0.498834
1.92 0.819195 0.571486 0.498838
1.93 0.822052 0.567375 0.498842
1.94 0.824889 0.563251 0.498846
1.95 0.827705 0.559112 0.498851
1.96 0.830501 0.554959 0.498856
1.97 0.833275 0.550793 0.49886
1.98 0.836029 0.546613 0.498865
1.99 0.838762 0.542419 0.49887
2 0.841474 0.538211 0.498875
2.01 0.844165 0.53399 0.49888
2.02 0.846835 0.529756 0.498886
2.03 0.849484 0.525509 0.498891
2.04 0.852111 0.521248 0.498896
2.05 0.854717 0.516974 0.498902
2.06 0.857302 0.512688 0.498908
2.07 0.859866 0.508388 0.498914
2.08 0.862407 0.504076 0.49892
2.09 0.864928 0.499751 0.498926
2.1 0.867426 0.495414 0.498932
2.11 0.869903 0.491064 0.498938
2.12 0.872359 0.486702 0.498945
2.13 0.874792 0.482328 0.498951
2.14 0.877204 0.477942 0.498958
2.15 0.879593 0.473544 0.498964
2.16 0.881961 0.469134 0.498971
2.17 0.884307 0.464713 0.498978
2.18 0.88663 0.460279 0.498985
2.19 0.888932 0.455835 0.498992
2.2 0.891211 0.451378 0.498999
2.21 0.893468 0.446911 0.499007
2.22 0.895702 0.442432 0.499014
2.23 0.897914 0.437943 0.499022
2.24 0.900104 0.433442 0.499029
2.25 0.902271 0.428931 0.499037
2.26 0.904416 0.424408 0.499045
2.27 0.906538 0.419876 0.499053
2.28 0.908637 0.415332 0.499061
2.29 0.910713 0.410779 0.499069
2.3 0.912767 0.406215 0.499077
2.31 0.914798 0.401641 0.499086
2.32 0.916806 0.397056 0.499094
2.33 0.918792 0.392462 0.499102
2.34 0.920754 0.387858 0.499111
2.35 0.922693 0.383245 0.49912
2.36 0.924609 0.378622 0.499128
2.37 0.926502 0.373989 0.499137
2.38 0.928372 0.369347 0.499146
2.39 0.930219 0.364696 0.499155
2.4 0.932042 0.360036 0.499164
2.41 0.933843 0.355366 0.499174
2.42 0.935619 0.350688 0.499183
2.43 0.937373 0.346001 0.499192
2.44 0.939103 0.341305 0.499202
2.45 0.940809 0.336601 0.499211
2.46 0.942492 0.331889 0.499221
2.47 0.944152 0.327168 0.49923
2.48 0.945787 0.322439 0.49924
2.49 0.9474 0.317702 0.49925
2.5 0.948988 0.312957 0.49926
2.51 0.950553 0.308204 0.49927
2.52 0.952094 0.303443 0.49928
2.53 0.953611 0.298675 0.49929
2.54 0.955104 0.293899 0.4993
2.55 0.956574 0.289116 0.499311
2.56 0.958019 0.284326 0.499321
2.57 0.959441 0.279529 0.499332
2.58 0.960838 0.274724 0.499342
2.59 0.962212 0.269913 0.499353
2.6 0.963562 0.265095 0.499363
2.61 0.964887 0.260271 0.499374
2.62 0.966188 0.25544 0.499385
2.63 0.967465 0.250602 0.499395
2.64 0.968718 0.245759 0.499406
2.65 0.969947 0.240909 0.499417
2.66 0.971152 0.236053 0.499428
2.67 0.972332 0.231191 0.499439
2.68 0.973488 0.226324 0.499451
2.69 0.974619 0.22145 0.499462
2.7 0.975727 0.216572 0.499473
2.71 0.97681 0.211687 0.499484
2.72 0.977868 0.206798 0.499496
2.73 0.978902 0.201903 0.499507
2.74 0.979911 0.197004 0.499518
2.75 0.980896 0.192099 0.49953
2.76 0.981857 0.18719 0.499541
2.77 0.982793 0.182275 0.499553
2.78 0.983704 0.177357 0.499565
2.79 0.984591 0.172434 0.499576
2.8 0.985453 0.167506 0.499588
2.81 0.986291 0.162575 0.4996
2.82 0.987103 0.157639 0.499612
2.83 0.987892 0.1527 0.499623
2.84 0.988655 0.147756 0.499635
2.85 0.989394 0.142809 0.499647
2.86 0.990108 0.137858 0.499659
2.87 0.990797 0.132904 0.499671
2.88 0.991462 0.127947 0.499683
2.89 0.992101 0.122986 0.499695
2.9 0.992716 0.118023 0.499707
2.91 0.993306 0.113056 0.49972
2.92 0.993872 0.108086 0.499732
2.93 0.994412 0.103114 0.499744
2.94 0.994928 0.0981395 0.499756
2.95 0.995418 0.0931623 0.499768
2.96 0.995884 0.0881827 0.499781
2.97 0.996325 0.083201 0.499793
2.98 0.996741 0.0782171 0.499805
2.99 0.997132 0.0732313 0.499818
3 0.997498 0.0682437 0.49983
3.01 0.997839 0.0632544 0.499842
3.02 0.998156 0.0582635 0.499855
3.03 0.998447 0.0532711 0.499867
3.04 0.998713 0.0482775 0.49988
3.05 0.998955 0.0432826 0.499892
3.06 0.999171 0.0382866 0.499904
3.07 0.999363 0.0332896 0.499917
3.08 0.999529 0.0282919 0.499929
3.09 0.99967 0.0232934 0.499942
3.1 0.999787 0.0182943 0.499954
3.11 0.999878 0.0132948 0.499967
3.12 0.999945 0.00829496 0.499979
3.13 0.999986 0.00329491 0.499992
3.14 1 -0.00170523 0.500004
3.15 0.999994 -0.00670533 0.500017
3.16 0.999961 -0.0117053 0.500029
3.17 0.999902 -0.0167049 0.500042
3.18 0.999819 -0.0217041 0.500054
3.19 0.99971 -0.0267028 0.500067
3.2 0.999577 -0.0317008 0.500079
3.21 0.999418 -0.036698 0.500092
3.22 0.999235 -0.0416943 0.500104
3.23 0.999026 -0.0466896 0.500117
3.24 0.998793 -0.0516837 0.500129
3.25 0.998534 -0.0566765 0.500142
3.26 0.998251 -0.0616678 0.500154
3.27 0.997943 -0.0666577 0.500166
3.28 0.997609 -0.0716458 0.500179
3.29 0.997251 -0.0766322 0.500191
3.3 0.996868 -0.0816167 0.500204
3.31 0.99646 -0.0865991 0.500216
3.32 0.996027 -0.0915794 0.500228
3.33 0.995569 -0.0965573 0.500241
3.34 0.995086 -0.101533 0.500253
3.35 0.994579 -0.106506 0.500265
3.36 0.994046 -0.111476 0.500277
3.37 0.993489 -0.116444 0.50029
3.38 0.992907 -0.121408 0.500302
3.39 0.9923 -0.12637 0.500314
3.4 0.991668 -0.131329 0.500326
3.41 0.991011 -0.136284 0.500338
3.42 0.99033 -0.141236 0.50035
3.43 0.989623 -0.146184 0.500362
3.44 0.988893 -0.151128 0.500374
3.45 0.988137 -0.156069 0.500386
3.46 0.987357 -0.161006 0.500398
3.47 0.986552 -0.165939 0.50041
3.48 0.985722 -0.170868 0.500422
3.49 0.984868 -0.175792 0.500434
3.5 0.983989 -0.180712 0.500445
3.51 0.983085 -0.185628 0.500457
3.52 0.982157 -0.190539 0.500469
3.53 0.981204 -0.195445 0.50048
3.54 0.980227 -0.200346 0.500492
3.55 0.979225 -0.205242 0.500503
3.56 0.978199 -0.210133 0.500515
3.57 0.977149 -0.215019 0.500526
3.58 0.976074 -0.2199 0.500538
3.59 0.974974 -0.224775 0.500549
3.6 0.97385 -0.229644 0.50056
3.61 0.972702 -0.234508 0.500572
3.62 0.97153 -0.239366 0.500583
3.63 0.970333 -0.244217 0.500594
3.64 0.969112 -0.249063 0.500605
3.65 0.967866 -0.253902 0.500616
3.66 0.966597 -0.258736 0.500627
3.67 0.965303 -0.263562 0.500638
3.68 0.963985 -0.268382 0.500649
3.69 0.962644 -0.273196 0.500659
3.7 0.961278 -0.278002 0.50067
3.71 0.959888 -0.282802 0.500681
3.72 0.958474 -0.287594 0.500691
3.73 0.957036 -0.292379 0.500702
3.74 0.955574 -0.297157 0.500712
3.75 0.954088 -0.301928 0.500722
3.76 0.952579 -0.306691 0.500733
3.77 0.951045 -0.311446 0.500743
3.78 0.949488 -0.316194 0.500753
3.79 0.947907 -0.320934 0.500763
3.8 0.946302 -0.325665 0.500773
3.81 0.944674 -0.330389 0.500783
3.82 0.943022 -0.335104 0.500793
3.83 0.941347 -0.339811 0.500803
3.84 0.939648 -0.344509 0.500812
3.85 0.937925 -0.349199 0.500822
3.86 0.936179 -0.35388 0.500831
3.87 0.93441 -0.358552 0.500841
3.88 0.932617 -0.363215 0.50085
3.89 0.930801 -0.367869 0.500859
3.9 0.928962 -0.372514 0.500869
3.91 0.927099 -0.37715 0.500878
3.92 0.925214 -0.381776 0.500887
3.93 0.923305 -0.386393 0.500896
3.94 0.921373 -0.391 0.500904
3.95 0.919418 -0.395597 0.500913
3.96 0.91744 -0.400184 0.500922
3.97 0.915439 -0.404762 0.50093
3.98 0.913415 -0.409329 0.500939
3.99 0.911369 -0.413886 0.500947
4 0.909299 -0.418432 0.500956
4.01 0.907207 -0.422968 0.500964
4.02 0.905093 -0.427494 0.500972
4.03 0.902955 -0.432009 0.50098
4.04 0.900795 -0.436513 0.500988
4.05 0.898613 -0.441006 0.500996
4.06 0.896408 -0.445488 0.501003
4.07 0.89418 -0.449959 0.501011
4.08 0.89193 -0.454419 0.501018
4.09 0.889658 -0.458868 0.501026
4.1 0.887364 -0.463304 0.501033
4.11 0.885048 -0.46773 0.50104
4.12 0.882709 -0.472143 0.501047
4.13 0.880348 -0.476545 0.501054
4.14 0.877966 -0.480935 0.501061
4.15 0.875561 -0.485313 0.501068
4.16 0.873135 -0.489679 0.501075
4.17 0.870686 -0.494033 0.501081
4.18 0.868216 -0.498374 0.501088
4.19 0.865724 -0.502702 0.501094
4.2 0.863211 -0.507019 0.501101
4.21 0.860676 -0.511322 0.501107
4.22 0.858119 -0.515613 0.501113
4.23 0.855541 -0.519891 0.501119
4.24 0.852942 -0.524155 0.501124
4.25 0.850321 -0.528407 0.50113
4.26 0.847679 -0.532646 0.501136
4.27 0.845016 -0.536871 0.501141
4.28 0.842332 -0.541083 0.501147
4.29 0.839627 -0.545281 0.501152
4.3 0.8369 -0.549465 0.501157
4.31 0.834153 -0.553636 0.501162
4.32 0.831385 -0.557793 0.501167
4.33 0.828596 -0.561936 0.501172
4.34 0.825786 -0.566065 0.501177
4.35 0.822956 -0.57018 0.501181
4.36 0.820105 -0.574281 0.501186
4.37 0.817234 -0.578367 0.50119
4.38 0.814342 -0.582439 0.501194
4.39 0.81143 -0.586496 0.501198
4.4 0.808498 -0.590539 0.501202
4.41 0.805545 -0.594567 0.501206
4.42 0.802572 -0.59858 0.50121
4.43 0.799579 -0.602578 0.501214
4.44 0.796567 -0.606561 0.501217
4.45 0.793534 -0.610528 0.50122
4.46 0.790481 -0.614481 0.501224
4.47 0.787409 -0.618418 0.501227
4.48 0.784317 -0.62234 0.50123
4.49 0.781205 -0.626246 0.501233
4.5 0.778074 -0.630136 0.501236
4.51 0.774924 -0.634011 0.501238
4.52 0.771754 -0.63787 0.501241
4.53 0.768564 -0.641713 0.501243
4.54 0.765356 -0.64554 0.501245
4.55 0.762128 -0.64935 0.501248
4.56 0.758882 -0.653145 0.50125
4.57 0.755616 -0.656923 0.501252
4.58 0.752331 -0.660685 0.501253
4.59 0.749028 -0.66443 0.501255
4.6 0.745706 -0.668159 0.501257
4.61 0.742365 -0.671871 0.501258
4.62 0.739006 -0.675566 0.501259
4.63 0.735628 -0.679244 0.501261
4.64 0.732232 -0.682905 0.501262
4.65 0.728818 -0.686549 0.501263
4.66 0.725385 -0.690176 0.501263
4.67 0.721934 -0.693786 0.501264
4.68 0.718465 -0.697379 0.501265
4.69 0.714979 -0.700954 0.501265
4.7 0.711474 -0.704511 0.501265
4.71 0.707951 -0.708051 0.501266
4.72 0.704411 -0.711573 0.501266
4.73 0.700853 -0.715077 0.501266
4.74 0.697278 -0.718564 0.501265
4.75 0.693685 -0.722032 0.501265
4.76 0.690075 -0.725483 0.501265
4.77 0.686448 -0.728915 0.501264
4.78 0.682804 -0.732329 0.501263
4.79 0.679142 -0.735725 0.501263
4.8 0.675463 -0.739102 0.501262
4.81 0.671768 -0.742461 0.501261
4.82 0.668056 -0.745802 0.501259
4.83 0.664327 -0.749123 0.501258
4.84 0.660581 -0.752426 0.501257
4.85 0.656819 -0.755711 0.501255
4.86 0.653041 -0.758976 0.501253
4.87 0.649246 -0.762222 0.501252
4.88 0.645435 -0.765449 0.50125
4.89 0.641608 -0.768658 0.501248
4.9 0.637765 -0.771847 0.501245
4.91 0.633906 -0.775016 0.501243
4.92 0.630031 -0.778166 0.501241
4.93 0.62614 -0.781297 0.501238
4.94 0.622233 -0.784408 0.501236
4.95 0.618312 -0.7875 0.501233
4.96 0.614374 -0.790572 0.50123
4.97 0.610421 -0.793624 0.501227
4.98 0.606453 -0.796656 0.501224
4.99 0.60247 -0.799669 0.50122
5 0.598472 -0.802661 0.501217
5.01 0.594459 -0.805634 0.501213
5.02 0.590431 -0.808586 0.50121
5.03 0.586388 -0.811518 0.501206
5.04 0.58233 -0.81443 0.501202
5.05 0.578258 -0.817321 0.501198
5.06 0.574172 -0.820192 0.501194
5.07 0.570071 -0.823042 0.50119
5.08 0.565956 -0.825872 0.501185
5.09 0.561827 -0.828681 0.501181
5.1 0.557683 -0.83147 0.501176
5.11 0.553526 -0.834238 0.501172
5.12 0.549355 -0.836984 0.501167
5.13 0.54517 -0.83971 0.501162
5.14 0.540972 -0.842415 0.501157
5.15 0.53676 -0.845099 0.501152
5.16 0.532534 -0.847762 0.501147
5.17 0.528296 -0.850403 0.501141
5.18 0.524044 -0.853024 0.501136
5.19 0.519779 -0.855623 0.50113
5.2 0.515501 -0.8582 0.501124
5.21 0.51121 -0.860756 0.501119
5.22 0.506906 -0.863291 0.501113
5.23 0.50259 -0.865804 0.501107
5.24 0.498261 -0.868295 0.5011
5.25 0.493919 -0.870765 0.501094
5.26 0.489566 -0.873213 0.501088
5.27 0.4852 -0.875639 0.501081
5.28 0.480822 -0.878043 0.501075
5.29 0.476432 -0.880425 0.501068
5.3 0.47203 -0.882786 0.501061
5.31 0.467616 -0.885124 0.501054
5.32 0.46319 -0.88744 0.501047
5.33 0.458753 -0.889734 0.50104
5.34 0.454305 -0.892005 0.501033
5.35 0.449845 -0.894254 0.501026
5.36 0.445374 -0.896481 0.501018
5.37 0.440891 -0.898686 0.501011
5.38 0.436398 -0.900868 0.501003
5.39 0.431894 -0.903027 0.500995
5.4 0.427379 -0.905164 0.500988
5.41 0.422853 -0.907279 0.50098
5.42 0.418317 -0.90937 0.500972
5.43 0.41377 -0.911439 0.500964
5.44 0.409213 -0.913485 0.500955
5.45 0.404646 -0.915509 0.500947
5.46 0.400068 -0.917509 0.500939
5.47 0.395481 -0.919486 0.50093
5.48 0.390883 -0.921441 0.500922
5.49 0.386276 -0.923372 0.500913
5.5 0.38166 -0.925281 0.500904
5.51 0.377033 -0.927166 0.500895
5.52 0.372398 -0.929028 0.500886
5.53 0.367753 -0.930867 0.500877
5.54 0.363098 -0.932682 0.500868
5.55 0.358435 -0.934475 0.500859
5.56 0.353763 -0.936243 0.50085
5.57 0.349082 -0.937989 0.500841
5.58 0.344392 -0.939711 0.500831
5.59 0.339693 -0.941409 0.500822
5.6 0.334986 -0.943084 0.500812
5.61 0.330271 -0.944736 0.500802
5.62 0.325548 -0.946363 0.500793
5.63 0.320816 -0.947968 0.500783
5.64 0.316076 -0.949548 0.500773
5.65 0.311329 -0.951105 0.500763
5.66 0.306573 -0.952638 0.500753
5.67 0.30181 -0.954147 0.500743
5.68 0.297039 -0.955632 0.500732
5.69 0.292261 -0.957093 0.500722
5.7 0.287476 -0.958531 0.500712
5.71 0.282684 -0.959944 0.500701
5.72 0.277884 -0.961334 0.500691
5.73 0.273077 -0.962699 0.50068
5.74 0.268264 -0.96404 0.50067
5.75 0.263444 -0.965358 0.500659
5.76 0.258617 -0.966651 0.500648
5.77 0.253784 -0.96792 0.500637
5.78 0.248945 -0.969164 0.500627
5.79 0.244099 -0.970385 0.500616
5.8 0.239247 -0.971581 0.500605
5.81 0.234389 -0.972753 0.500594
5.82 0.229526 -0.973901 0.500583
5.83 0.224656 -0.975024 0.500571
5.84 0.219781 -0.976123 0.50056
5.85 0.214901 -0.977198 0.500549
5.86 0.210015 -0.978248 0.500538
5.87 0.205124 -0.979273 0.500526
5.88 0.200228 -0.980275 0.500515
5.89 0.195326 -0.981251 0.500503
5.9 0.19042 -0.982203 0.500492
5.91 0.185509 -0.983131 0.50048
5.92 0.180594 -0.984034 0.500468
5.93 0.175674 -0.984912 0.500457
5.94 0.170749 -0.985766 0.500445
5.95 0.165821 -0.986595 0.500433
5.96 0.160888 -0.9874 0.500421
5.97 0.155951 -0.988179 0.50041
5.98 0.15101 -0.988935 0.500398
5.99 0.146066 -0.989665 0.500386
6 0.141117 -0.99037 0.500374
6.01 0.136166 -0.991051 0.500362
6.02 0.13121 -0.991707 0.50035
6.03 0.126252 -0.992339 0.500338
6.04 0.121291 -0.992945 0.500326
6.05 0.116326 -0.993527 0.500314
6.06 0.111358 -0.994084 0.500301
6.07 0.106388 -0.994616 0.500289
6.08 0.101415 -0.995123 0.500277
6.09 0.0964397 -0.995605 0.500265
6.1 0.0914618 -0.996062 0.500253
6.11 0.0864816 -0.996495 0.50024
6.12 0.0814992 -0.996902 0.500228
6.13 0.0765148 -0.997285 0.500216
6.14 0.0715285 -0.997642 0.500203
6.15 0.0665405 -0.997975 0.500191
6.16 0.0615507 -0.998283 0.500179
6.17 0.0565594 -0.998566 0.500166
6.18 0.0515667 -0.998823 0.500154
6.19 0.0465727 -0.999056 0.500141
6.2 0.0415776 -0.999264 0.500129
6.21 0.0365814 -0.999447 0.500116
6.22 0.0315843 -0.999605 0.500104
6.23 0.0265864 -0.999738 0.500091
6.24 0.0215878 -0.999846 0.500079
6.25 0.0165887 -0.999929 0.500066
6.26 0.0115892 -0.999987 0.500054
6.27 0.00658936 -1.00002 0.500041
6.28 0.00158939 -1.00003 0.500029
6.29 -0.00341063 -1.00001 0.500016
6.3 -0.00841055 -0.999969 0.500004
6.31 -0.0134103 -0.999902 0.499991
6.32 -0.0184097 -0.99981 0.499979
6.33 -0.0234086 -0.999692 0.499966
6.34 -0.0284069 -0.99955 0.499954
6.35 -0.0334045 -0.999383 0.499942
6.36 -0.0384013 -0.999191 0.499929
6.37 -0.0433972 -0.998974 0.499917
6.38 -0.0483919 -0.998732 0.499904
6.39 -0.0533855 -0.998465 0.499892
6.4 -0.0583777 -0.998174 0.499879
6.41 -0.0633684 -0.997857 0.499867
6.42 -0.0683576 -0.997515 0.499854
6.43 -0.073345 -0.997148 0.499842
6.44 -0.0783306 -0.996757 0.49983
6.45 -0.0833143 -0.99634 0.499817
6.46 -0.0882959 -0.995898 0.499805
6.47 -0.0932752 -0.995432 0.499793
6.48 -0.0982523 -0.994941 0.49978
6.49 -0.103227 -0.994425 0.499768
6.5 -0.108199 -0.993884 0.499756
6.51 -0.113168 -0.993318 0.499744
6.52 -0.118135 -0.992727 0.499731
6.53 -0.123098 -0.992112 0.499719
6.54 -0.128059 -0.991471 0.499707
6.55 -0.133016 -0.990806 0.499695
6.56 -0.13797 -0.990116 0.499683
6.57 -0.14292 -0.989402 0.499671
6.58 -0.147867 -0.988662 0.499659
6.59 -0.15281 -0.987898 0.499647
6.6 -0.15775 -0.98711 0.499635
6.61 -0.162685 -0.986296 0.499623
6.62 -0.167616 -0.985458 0.499611
6.63 -0.172544 -0.984595 0.4996
6.64 -0.177466 -0.983708 0.499588
6.65 -0.182385 -0.982796 0.499576
6.66 -0.187299 -0.981859 0.499564
6.67 -0.192208 -0.980898 0.499553
6.68 -0.197112 -0.979913 0.499541
6.69 -0.202012 -0.978903 0.49953
6.7 -0.206906 -0.977868 0.499518
6.71 -0.211795 -0.976809 0.499507
6.72 -0.216679 -0.975726 0.499495
6.73 -0.221558 -0.974618 0.499484
6.74 -0.226431 -0.973486 0.499473
6.75 -0.231298 -0.972329 0.499461
6.76 -0.236159 -0.971148 0.49945
6.77 -0.241015 -0.969943 0.499439
6.78 -0.245865 -0.968714 0.499428
6.79 -0.250708 -0.96746 0.499417
6.8 -0.255545 -0.966183 0.499406
6.81 -0.260376 -0.964881 0.499395
6.82 -0.2652 -0.963555 0.499384
6.83 -0.270018 -0.962205 0.499374
6.84 -0.274829 -0.96083 0.499363
6.85 -0.279633 -0.959432 0.499352
6.86 -0.28443 -0.95801 0.499342
6.87 -0.28922 -0.956564 0.499331
6.88 -0.294003 -0.955094 0.499321
6.89 -0.298778 -0.9536 0.49931
6.9 -0.303546 -0.952082 0.4993
6.91 -0.308306 -0.950541 0.49929
6.92 -0.313059 -0.948975 0.49928
6.93 -0.317804 -0.947386 0.49927
6.94 -0.32254 -0.945773 0.49926
6.95 -0.327269 -0.944137 0.49925
6.96 -0.33199 -0.942477 0.49924
6.97 -0.336702 -0.940793 0.49923
6.98 -0.341406 -0.939086 0.499221
6.99 -0.346101 -0.937356 0.499211
7 -0.350788 -0.935602 0.499201
